-1005_0,det_-1005_0_1,106.58
-1011_0,det_-1011_0_1,198.25
-1027_0,det_-1027_0_1,197.35
-1029_0,det_-1029_0_1,136.57
-1033_0,det_-1033_0_1,81.79
-1057_0,det_-1057_0_1,212.89
-1093_0,det_-1093_0_1,131.08
-11_0,det_-11_0_1,134.33
-116_0,det_-116_0_1,118.28
-117_0,det_-117_0_1,78.96
-119_0,det_-119_0_1,93.32
-1199_0,det_-1199_0_1,85.2
-1201_0,det_-1201_0_1,174.5
-121_0,det_-121_0_1,177.85
-123_0,det_-123_0_1,120.8
-125_0,det_-125_0_1,155.52
-126_0,det_-126_0_1,184.58
-128_0,det_-128_0_1,70.56
-13_0,det_-13_0_1,86.23
-1323_0,det_-1323_0_1,204.83
-1342_0,det_-1342_0_1,134.41
-1343_0,det_-1343_0_1,117.82
-1345_0,det_-1345_0_1,163.82
-1357_0,det_-1357_0_1,107.3
-1359_0,det_-1359_0_1,191.46
-1363_0,det_-1363_0_1,131.4
-1373_0,det_-1373_0_1,182.84
-138_0,det_-138_0_1,169.36
-1388_0,det_-1388_0_1,134.02
-1391_0,det_-1391_0_1,122.08
-1396_0,det_-1396_0_1,94.86
-1404_0,det_-1404_0_1,126.66999999999999
-1415_0,det_-1415_0_1,200.19
-1425_0,det_-1425_0_1,179.78
-1427_0,det_-1427_0_1,137.63
-1429_0,det_-1429_0_1,83.48
-1431_0,det_-1431_0_1,105.62
-1441_0,det_-1441_0_1,148.75
-1447_0,det_-1447_0_1,184.35
-1464_0,det_-1464_0_1,83.44
-1483_0,det_-1483_0_1,101.83
-1493_0,det_-1493_0_1,147.08
-1494_0,det_-1494_0_1,179.35
-1499_0,det_-1499_0_1,191.2
-15_0,det_-15_0_1,115.15
-1501_0,det_-1501_0_1,107.0
-1517_0,det_-1517_0_1,134.99
-1523_0,det_-1523_0_1,126.59
-1524_0,det_-1524_0_1,101.3
-1526_0,det_-1526_0_1,147.16
-1532_0,det_-1532_0_1,212.51
-1533_0,det_-1533_0_1,131.45
-1535_0,det_-1535_0_1,85.26
-17_0,det_-17_0_1,179.62
-1767_0,det_-1767_0_1,198.19
-1769_0,det_-1769_0_1,125.94999999999999
-1771_0,det_-1771_0_1,199.37
-1773_0,det_-1773_0_1,168.61
-1774_0,det_-1774_0_1,121.74
-1775_0,det_-1775_0_1,198.77
-1783_0,det_-1783_0_1,199.29
-1797_0,det_-1797_0_1,202.48
-1798_0,det_-1798_0_1,142.46
-1882_0,det_-1882_0_1,215.41
-1883_0,det_-1883_0_1,82.68
-1891_0,det_-1891_0_1,200.6
-19_0,det_-19_0_1,154.13
-210_0,det_-210_0_1,95.02
-25_0,det_-25_0_1,180.7
-3_0,det_-3_0_1,193.15
-313_0,det_-313_0_1,115.85
-319_0,det_-319_0_1,183.23
-325_0,det_-325_0_1,113.66
-326_0,det_-326_0_1,89.57
-330_0,det_-330_0_1,172.13
-332_0,det_-332_0_1,94.52
-333_0,det_-333_0_1,130.0
-336_0,det_-336_0_1,75.12
-338_0,det_-338_0_1,94.06
-344_0,det_-344_0_1,92.45
-348_0,det_-348_0_1,121.4
-349_0,det_-349_0_1,139.82
-356_0,det_-356_0_1,132.8
-361_0,det_-361_0_1,133.15
-365_0,det_-365_0_1,183.63
-379_0,det_-379_0_1,123.78
-38_0,det_-38_0_1,136.63
-381_0,det_-381_0_1,75.41
-383_0,det_-383_0_1,134.62
-492_0,det_-492_0_1,200.06
-496_0,det_-496_0_1,104.38
-504_0,det_-504_0_1,191.64
-505_0,det_-505_0_1,151.6
-517_0,det_-517_0_1,150.06
-523_0,det_-523_0_1,164.38
-533_0,det_-533_0_1,96.7
-535_0,det_-535_0_1,153.87
-569_0,det_-569_0_1,160.49
-570_0,det_-570_0_1,105.3
-577_0,det_-577_0_1,173.27
-579_0,det_-579_0_1,141.71
-585_0,det_-585_0_1,121.93
-588_0,det_-588_0_1,103.28
-589_0,det_-589_0_1,194.85
-592_0,det_-592_0_1,94.11
-597_0,det_-597_0_1,76.72
-601_0,det_-601_0_1,167.67
-608_0,det_-608_0_1,158.77
-612_0,det_-612_0_1,151.67
-613_0,det_-613_0_1,183.06
-614_0,det_-614_0_1,89.55
-618_0,det_-618_0_1,130.44
-621_0,det_-621_0_1,79.53
-623_0,det_-623_0_1,141.95
-625_0,det_-625_0_1,106.23
-639_0,det_-639_0_1,155.14
-64_0,det_-64_0_1,106.93
-642_0,det_-642_0_1,202.29
-650_0,det_-650_0_1,176.56
-674_0,det_-674_0_1,162.78
-679_0,det_-679_0_1,101.46
-684_0,det_-684_0_1,106.3
-686_0,det_-686_0_1,145.19
-696_0,det_-696_0_1,79.53
-698_0,det_-698_0_1,104.45
-7_0,det_-7_0_1,171.8
-728_0,det_-728_0_1,82.96
-730_0,det_-730_0_1,129.1
-732_0,det_-732_0_1,111.93
-734_0,det_-734_0_1,188.02
-837_0,det_-837_0_1,98.2
-840_0,det_-840_0_1,220.77
-846_0,det_-846_0_1,99.54
-848_0,det_-848_0_1,89.51
-867_0,det_-867_0_1,224.92
-870_0,det_-870_0_1,70.88
-876_0,det_-876_0_1,93.18
-880_0,det_-880_0_1,186.19
-882_0,det_-882_0_1,152.57
-9_0,det_-9_0_1,168.61
1005_0,det_1005_0_1,106.58
1011_0,det_1011_0_1,198.25
1027_0,det_1027_0_1,197.35
1029_0,det_1029_0_1,136.57
1033_0,det_1033_0_1,81.79
1057_0,det_1057_0_1,212.89
1093_0,det_1093_0_1,131.08
11_0,det_11_0_1,134.33
116_0,det_116_0_1,118.28
117_0,det_117_0_1,78.96
119_0,det_119_0_1,93.32
1199_0,det_1199_0_1,85.2
1201_0,det_1201_0_1,174.5
121_0,det_121_0_1,177.85
123_0,det_123_0_1,120.8
125_0,det_125_0_1,155.52
126_0,det_126_0_1,184.58
128_0,det_128_0_1,70.56
13_0,det_13_0_1,86.23
1323_0,det_1323_0_1,204.83
1342_0,det_1342_0_1,134.41
1343_0,det_1343_0_1,117.82
1345_0,det_1345_0_1,163.82
1357_0,det_1357_0_1,107.3
1359_0,det_1359_0_1,191.46
1363_0,det_1363_0_1,131.4
1373_0,det_1373_0_1,182.84
138_0,det_138_0_1,169.36
1388_0,det_1388_0_1,134.02
1391_0,det_1391_0_1,122.08
1396_0,det_1396_0_1,94.86
1404_0,det_1404_0_1,126.66999999999999
1415_0,det_1415_0_1,200.19
1425_0,det_1425_0_1,179.78
1427_0,det_1427_0_1,137.63
1429_0,det_1429_0_1,83.48
1431_0,det_1431_0_1,105.62
1441_0,det_1441_0_1,148.75
1447_0,det_1447_0_1,184.35
1464_0,det_1464_0_1,83.44
1483_0,det_1483_0_1,101.83
1493_0,det_1493_0_1,147.08
1494_0,det_1494_0_1,179.35
1499_0,det_1499_0_1,191.2
15_0,det_15_0_1,115.15
1501_0,det_1501_0_1,107.0
1517_0,det_1517_0_1,134.99
1523_0,det_1523_0_1,126.59
1524_0,det_1524_0_1,101.3
1526_0,det_1526_0_1,147.16
1532_0,det_1532_0_1,212.51
1533_0,det_1533_0_1,131.45
1535_0,det_1535_0_1,85.26
17_0,det_17_0_1,179.62
1767_0,det_1767_0_1,198.19
1769_0,det_1769_0_1,125.94999999999999
1771_0,det_1771_0_1,199.37
1773_0,det_1773_0_1,168.61
1774_0,det_1774_0_1,121.74
1775_0,det_1775_0_1,198.77
1783_0,det_1783_0_1,199.29
1797_0,det_1797_0_1,202.48
1798_0,det_1798_0_1,142.46
1882_0,det_1882_0_1,215.41
1883_0,det_1883_0_1,82.68
1891_0,det_1891_0_1,200.6
19_0,det_19_0_1,154.13
210_0,det_210_0_1,95.02
25_0,det_25_0_1,180.7
3_0,det_3_0_1,193.15
313_0,det_313_0_1,115.85
319_0,det_319_0_1,183.23
325_0,det_325_0_1,113.66
326_0,det_326_0_1,89.57
330_0,det_330_0_1,172.13
332_0,det_332_0_1,94.52
333_0,det_333_0_1,130.0
336_0,det_336_0_1,75.12
338_0,det_338_0_1,94.06
344_0,det_344_0_1,92.45
348_0,det_348_0_1,121.4
349_0,det_349_0_1,139.82
356_0,det_356_0_1,132.8
361_0,det_361_0_1,133.15
365_0,det_365_0_1,183.63
379_0,det_379_0_1,123.78
38_0,det_38_0_1,136.63
381_0,det_381_0_1,75.41
383_0,det_383_0_1,134.62
492_0,det_492_0_1,200.06
496_0,det_496_0_1,104.38
504_0,det_504_0_1,191.64
505_0,det_505_0_1,151.6
517_0,det_517_0_1,150.06
523_0,det_523_0_1,164.38
533_0,det_533_0_1,96.7
535_0,det_535_0_1,153.87
569_0,det_569_0_1,160.49
570_0,det_570_0_1,105.3
577_0,det_577_0_1,173.27
579_0,det_579_0_1,141.71
585_0,det_585_0_1,121.93
588_0,det_588_0_1,103.28
589_0,det_589_0_1,194.85
592_0,det_592_0_1,94.11
597_0,det_597_0_1,76.72
601_0,det_601_0_1,167.67
608_0,det_608_0_1,158.77
612_0,det_612_0_1,151.67
613_0,det_613_0_1,183.06
614_0,det_614_0_1,89.55
618_0,det_618_0_1,130.44
621_0,det_621_0_1,79.53
623_0,det_623_0_1,141.95
625_0,det_625_0_1,106.23
639_0,det_639_0_1,155.14
64_0,det_64_0_1,106.93
642_0,det_642_0_1,202.29
650_0,det_650_0_1,176.56
674_0,det_674_0_1,162.78
679_0,det_679_0_1,101.46
684_0,det_684_0_1,106.3
686_0,det_686_0_1,145.19
696_0,det_696_0_1,79.53
698_0,det_698_0_1,104.45
7_0,det_7_0_1,171.8
728_0,det_728_0_1,82.96
730_0,det_730_0_1,129.1
732_0,det_732_0_1,111.93
734_0,det_734_0_1,188.02
837_0,det_837_0_1,98.2
840_0,det_840_0_1,220.77
846_0,det_846_0_1,99.54
848_0,det_848_0_1,89.51
867_0,det_867_0_1,224.92
870_0,det_870_0_1,70.88
876_0,det_876_0_1,93.18
880_0,det_880_0_1,186.19
882_0,det_882_0_1,152.57
9_0,det_9_0_1,168.61
